Water,Ethanol
0.404,0.629
0.658,0.558
0.287,0.4365
0.103,1.105
0.206,0.667
1.208,1.361
1.134,1.378
0.582,0.502
0.624,0.803
0.474,1.46
0.341,0.549
0.262,0.814
0.922,1.211
0.607,0.897
0.7,1.379
0.371,1.195
0.332,0.753
0.464,1.049
0.961,1.312
0.371,0.47
0.538,0.73
0.397,0.979
0.619,1.046
0.387,0.548
0.011,1.334
0.354,0.605
0.391,0.4
0.481,0.715
0.364,0.797
0.875,0.819
0.472,0.45
0.2531,0.792
0.415,0.784
0.372,0.633
0.891,1.374
0.463,0.915
0.4489,0.864
0.359,0.726
0.853,1.096
0.241,0.86
0.731,0.636
0.82,0.965
0.832,0.779
0.698,0.703
0.287,0.616
0.2,1.056
0.33,0.932
0.1626,0.614
0.379,0.271
0.317,0.783
0.353,0.3405
0.1624,0.655
0.151,0.804
0.355,0.131
0.238,0.217
0.457,0.745
0.182,0.279
0.244,0.887
